date;time;status;reference;description;assetType;type;isin;shares;price;amount;fee;tax;currency
2025-12-31;01:00:00;Executed;"KF3I9W3YO4ZDBEFJCHKK9F";"Scalable Capital Broker 2x savings plan";Cash;Deposit;;;;200,00;0,00;;EUR
2025-12-30;09:04:48;Executed;"SCALexGWZZgsQVU";"Leverage Shares 3x UBER ETP Securities";Security;Sell;XS2337092550;1.000;0,5617;561,70;0,00;0,00;EUR
2025-12-29;11:51:08;Executed;"SCALzFYPN7CN29m";"Alphabet A";Security;Savings plan;US02079K3059;0,944108;264,80;-249,9997984;0,00;0,00;EUR
2025-12-29;11:44:00;Executed;"SCALg5p91UunFQt";"Leverage Shares 3x UBER ETP Securities";Security;Savings plan;XS2337092550;885,582713;0,5646;-499,9999997598;0,00;0,00;EUR
2025-12-29;11:39:00;Executed;"SCALyF2mnGd8oX7";"Leverage Shares 3x Long Gold";Security;Savings plan;XS2472195101;9,681479;51,645;-499,999982955;0,00;0,00;EUR
2025-12-29;11:23:30;Executed;"SCALwccxTJRodS3";"Leverage Shares 4x Long Semiconductors ETP";Security;Savings plan;XS2779861082;33,507572;7,461;-249,999994692;0,00;0,00;EUR
2025-12-29;11:13:31;Executed;"SCALU3XSLEaiwyg";"Leverage Shares 3x NVIDIA ETP";Security;Savings plan;XS2820604770;10,085118;49,578;-499,999980204;0,00;0,00;EUR
2025-12-29;10:35:26;Cancelled;"SCAL1hT6re1Cfv8";"Leverage Shares 3x UBER ETP Securities";Security;Sell;XS2337092550;0;0,00;0,00;0,00;0,00;EUR
2025-12-29;10:32:49;Executed;"SCALa3yG843RuEG";"Leverage Shares 3x Baidu ETP Securities";Security;Sell;XS2757381749;100;5,768;576,80;0,00;0,00;EUR
2025-12-29;10:30:02;Executed;"SCALHf52PZ98fQY";"Leverage Shares 3x UBER ETP Securities";Security;Sell;XS2337092550;1.000;0,5565;556,50;0,00;0,00;EUR
2025-12-29;09:51:38;Executed;"SCALz6YN3AoGGdn";"Leverage Shares 3x UBER ETP Securities";Security;Sell;XS2337092550;1.000;0,5532;553,20;0,00;-107,53;EUR
2025-12-29;09:47:16;Executed;"SCALNgyTuYgjtZs";"WisdomTree Silver 2x Daily Leveraged";Security;Sell;JE00B2NFTS64;20;27,816;556,32;0,00;39,73;EUR
